citation_key,verification_source,metadata_status,claim_support_status,supported_claim
fda2019shortages,https://www.fda.gov/drugs/drug-shortages/report-drug-shortages-root-causes-and-potential-solutions,verified,verified,"FDA task-force root causes and quality-system context"
fdaShortageFAQ,https://www.fda.gov/drugs/drug-shortages/frequently-asked-questions-about-drug-shortages,verified,verified,"FDA shortage definition, reasons, and manufacturing-quality context"
openfdaShortages,https://open.fda.gov/apis/drug/drugshortages/,verified,verified,"Machine-readable drug-shortage fields and source"
ichQualityGuidelines,https://admin.ich.org/page/quality-guidelines,verified,verified,"Scope of ICH quality guideline families"
ichQ9R1,https://database.ich.org/sites/default/files/ICH_Q9-R1_Guideline_Step4_2023_0126.pdf,verified,verified,"Quality risk-management principles and lifecycle application"
ichQ10,https://database.ich.org/sites/default/files/Q10_Guideline.pdf,verified,verified,"Knowledge and risk management as pharmaceutical-quality-system enablers"
ecAnnex11,https://health.ec.europa.eu/medicinal-products/eudralex/eudralex-volume-4_en,verified,verified,"European GMP Annex 11 source and computerized-system scope"
fdaQualitySystems2006,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/quality-systems-approach-pharmaceutical-current-good-manufacturing-practice-regulations,verified,verified,"FDA modern quality systems and risk management within CGMP"
fdaShortageRMP2022,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/risk-management-plans-mitigate-potential-drug-shortages,verified,verified,"Draft status and proactive shortage risk-management purpose"
who2016shortages,https://www.who.int/publications/i/item/addressing-the-global-shortages-of-medicines-and-the-safety-and-accessibility-of-children-s-medication,verified,verified,"Few manufacturers, difficult formulation, and shelf-life shortage risk"
gray2023regulatory,https://doi.org/10.1021/acs.chemrestox.3c00028,verified,verified,"AI classification of unstructured regulatory labeling text"
proestel2025semantic,https://doi.org/10.1007/s43441-025-00798-8,verified,verified,"Semantic and generative search over FDA guidance documents"
nanua2025raven,https://doi.org/10.1016/j.jpi.2025.100520,verified,verified,"RAG evaluation for laboratory regulations and retrieval-error importance"
saraswat2023regulatory,https://doi.org/10.2196/43483,verified,verified,"Expert-annotated question similarity in pharmaceutical regulatory affairs"
chalkidis2021regir,https://aclanthology.org/2021.eacl-main.305/,verified,verified,"Regulatory IR limits of similarity and neural reranking under contradictory labels"
robertson2009bm25,https://doi.org/10.1561/1500000019,verified,verified,"BM25 probabilistic lexical ranking framework"
cormack2009rrf,https://doi.org/10.1145/1571941.1572114,verified,verified,"Reciprocal rank fusion of heterogeneous rankings"
lewis2020rag,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,verified,verified,"Retrieval-augmented generation with external non-parametric memory"
karpukhin2020dpr,https://aclanthology.org/2020.emnlp-main.550/,verified,verified,"Dual-encoder dense passage retrieval"
gao2023hyde,https://aclanthology.org/2023.acl-long.99/,verified,verified,"Zero-shot retrieval using generated hypothetical documents"
sarthi2024raptor,https://openreview.net/forum?id=GN921JHCRw,verified,verified,"Tree-organized retrieval with recursive summaries"
edge2024graphrag,https://arxiv.org/abs/2404.16130,verified,verified,"Entity graphs and community summaries for global query-focused summarization"
nogueira2020monot5,https://aclanthology.org/2020.findings-emnlp.63/,verified,verified,"Generative relevance-label probabilities for document reranking"
zhang2024mgte,https://aclanthology.org/2024.emnlp-industry.103/,verified,verified,"Long-context multilingual representation and reranking"
zhang2025qwen3embedding,https://arxiv.org/abs/2506.05176,verified,verified,"Qwen3 reranker family, scales, multilingual and retrieval design"
zhang2025codiemb,https://arxiv.org/abs/2508.11442,verified,verified,"Training framework associated with the frozen Youtu embedding model"
hogan2021knowledgegraphs,https://doi.org/10.1145/3447772,verified,verified,"Knowledge-graph entities, relations, schema, identity, and provenance context"
jarvelin2002ndcg,https://doi.org/10.1145/582415.582418,verified,verified,"Discounted cumulative gain evaluation of ranked retrieval"
cohen1960kappa,https://doi.org/10.1177/001316446002000104,verified,verified,"Cohen's kappa for nominal inter-rater agreement"
gwet2008ac1,https://doi.org/10.1348/000711006X126600,verified,verified,"AC1 and the high-agreement kappa paradox"
holm1979multiple,https://www.jstor.org/stable/4615733,verified,verified,"Sequentially rejective correction for multiple testing"
wilcoxon1945rank,https://doi.org/10.2307/3001968,verified,verified,"Paired rank-based comparison"
mcnemar1947correlated,https://doi.org/10.1007/BF02295996,verified,verified,"Paired comparison of correlated binary outcomes"
jin2023medcpt,https://doi.org/10.1093/bioinformatics/btad651,verified,verified,"PubMed-search-log pretraining and zero-shot biomedical retrieval setting used by MedCPT"
